epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,1199.27,1.29823,1.36151,1.19638,0.55099,0.67318,0.60761,0.37712,1.34594,1.5171,1.20719,0.00055188,0.00055188,0.00055188
64,1216.12,1.27626,1.53579,1.19094,0.59687,0.64641,0.61318,0.3795,1.34742,1.51953,1.20684,0.000537733,0.000537733,0.000537733
65,1233.64,1.26222,1.35632,1.14607,0.60088,0.6318,0.60199,0.36954,1.36782,1.53356,1.21659,0.000523586,0.000523586,0.000523586
66,1250.81,1.29642,1.47507,1.18176,0.67949,0.61483,0.6192,0.37253,1.3791,1.507,1.22374,0.000509438,0.000509438,0.000509438
67,1267.66,1.30652,1.34242,1.22411,0.68637,0.63574,0.64412,0.383,1.37809,1.4825,1.22108,0.000495291,0.000495291,0.000495291
68,1284.65,1.30765,1.40077,1.18554,0.59318,0.67277,0.64665,0.38658,1.36684,1.48729,1.22695,0.000481144,0.000481144,0.000481144
69,1301.87,1.26915,1.47759,1.17625,0.61791,0.63226,0.64784,0.38731,1.36679,1.48789,1.22914,0.000466997,0.000466997,0.000466997
70,1319.16,1.24322,1.40175,1.16716,0.60599,0.61576,0.64555,0.38456,1.36584,1.504,1.22239,0.00045285,0.00045285,0.00045285
71,1336.01,1.30732,1.46044,1.18133,0.55779,0.68653,0.6382,0.37704,1.35536,1.48563,1.21348,0.000438703,0.000438703,0.000438703
72,1353.22,1.25989,1.30277,1.1884,0.58997,0.69618,0.6592,0.38455,1.36411,1.43184,1.20994,0.000424556,0.000424556,0.000424556
73,1371.84,1.25603,1.29897,1.19348,0.60056,0.70146,0.65661,0.38491,1.36696,1.42464,1.21213,0.000410409,0.000410409,0.000410409
74,1391.61,1.26267,1.2774,1.18529,0.60451,0.69201,0.66439,0.3994,1.36827,1.39921,1.21137,0.000396262,0.000396262,0.000396262
75,1411.71,1.30642,1.4542,1.17993,0.60865,0.67831,0.65177,0.39912,1.37144,1.47477,1.21353,0.000382115,0.000382115,0.000382115
76,1431.77,1.26511,1.26616,1.1743,0.58149,0.69958,0.64245,0.39594,1.373,1.49679,1.21579,0.000367967,0.000367967,0.000367967
77,1451.76,1.27359,1.28337,1.16122,0.60307,0.66462,0.64035,0.39275,1.36056,1.50311,1.20679,0.00035382,0.00035382,0.00035382
78,1473.62,1.28734,1.26163,1.16924,0.61655,0.66726,0.65536,0.39856,1.35363,1.44118,1.20307,0.000339673,0.000339673,0.000339673
79,1494.72,1.27188,1.26251,1.18589,0.63453,0.65475,0.65551,0.3867,1.35823,1.39726,1.20341,0.000325526,0.000325526,0.000325526
80,1514.02,1.2726,1.28239,1.19015,0.60575,0.67983,0.67318,0.39876,1.37467,1.35429,1.211,0.000311379,0.000311379,0.000311379
81,1533.02,1.27361,1.24515,1.18828,0.64942,0.64157,0.66061,0.3911,1.36955,1.40903,1.21076,0.000297232,0.000297232,0.000297232
82,1551.91,1.24013,1.2203,1.16783,0.64775,0.62525,0.65824,0.40188,1.34861,1.43485,1.20376,0.000283085,0.000283085,0.000283085
83,1570.66,1.20605,1.2445,1.13806,0.69877,0.65422,0.6931,0.42481,1.34968,1.41971,1.20424,0.000268938,0.000268938,0.000268938
84,1589.45,1.22518,1.27063,1.14659,0.70131,0.63728,0.68669,0.42114,1.34486,1.37713,1.20387,0.000254791,0.000254791,0.000254791
85,1607.54,1.2593,1.2242,1.14755,0.67511,0.64513,0.6852,0.41306,1.33848,1.35075,1.20812,0.000240644,0.000240644,0.000240644
86,1624.66,1.15751,1.32023,1.13202,0.67144,0.64766,0.67725,0.40089,1.35839,1.34627,1.21427,0.000226497,0.000226497,0.000226497
87,1641.57,1.24314,1.2588,1.16251,0.67007,0.64419,0.66657,0.39396,1.37461,1.3582,1.22667,0.000212349,0.000212349,0.000212349
88,1661.41,1.24395,1.56228,1.17399,0.66873,0.64802,0.67442,0.40092,1.36174,1.38347,1.21152,0.000198202,0.000198202,0.000198202
89,1682.19,1.20701,1.38921,1.15418,0.66199,0.65595,0.66972,0.40744,1.36123,1.40502,1.21358,0.000184055,0.000184055,0.000184055
90,1704.46,1.16533,1.38925,1.11117,0.67573,0.65161,0.68119,0.41405,1.3599,1.40564,1.21394,0.000169908,0.000169908,0.000169908
91,1726.36,1.181,1.46417,1.1028,0.6101,0.65883,0.64703,0.39362,1.36428,1.50971,1.20715,0.000155761,0.000155761,0.000155761
92,1749.52,1.24522,1.53111,1.15087,0.61357,0.64484,0.64559,0.3953,1.37173,1.52883,1.22422,0.000141614,0.000141614,0.000141614
93,1769.91,1.19068,1.50858,1.10241,0.63399,0.65744,0.64589,0.39653,1.36727,1.48089,1.2194,0.000127467,0.000127467,0.000127467
94,1790.33,1.17512,1.39667,1.14695,0.64301,0.64658,0.6421,0.39797,1.37409,1.46202,1.22421,0.00011332,0.00011332,0.00011332
95,1811.14,1.17119,1.42183,1.11423,0.5967,0.68003,0.65091,0.40355,1.37611,1.44657,1.22928,9.91726e-05,9.91726e-05,9.91726e-05
96,1832.1,1.11101,1.4002,1.09351,0.59938,0.66538,0.63592,0.38999,1.37347,1.46384,1.23251,8.50255e-05,8.50255e-05,8.50255e-05
97,1854.36,1.17834,1.31015,1.15097,0.58217,0.68931,0.6355,0.39562,1.36906,1.45351,1.23328,7.08784e-05,7.08784e-05,7.08784e-05
98,1874.36,1.13841,1.25199,1.13122,0.59224,0.67619,0.64653,0.40001,1.36875,1.42986,1.23325,5.67313e-05,5.67313e-05,5.67313e-05
99,1894.76,1.15523,1.35228,1.11756,0.65343,0.64771,0.65278,0.40397,1.36594,1.40541,1.21943,4.25842e-05,4.25842e-05,4.25842e-05
100,1915.6,1.15276,1.19472,1.13256,0.59507,0.62699,0.62952,0.38356,1.36911,1.48517,1.23048,2.84371e-05,2.84371e-05,2.84371e-05
